Size,Mean_Expected,SD_expected,n,SE_Expected
1005,3.7634408602150535,0.47037084074144625,62,0.05973715651135005
1035,3.7624926513815398,0.4666228061842311,63,0.05878894767783655
1065,3.7037037037037033,0,67,0
1095,3.7037037037037033,0,51,0
1125,3.7037037037037033,0,45,0
1155,3.7037037037037033,0,33,0
1185,3.7037037037037033,0,32,0
1215,3.8986354775828453,0.8496879032243028,19,0.19493177387914226
1245,3.7037037037037033,0,14,0
1275,3.7037037037037033,0,23,0
1305,3.7037037037037033,0,19,0
1335,3.7037037037037033,0,18,0
1395,3.7037037037037033,0,16,0
1425,3.7037037037037033,0,11,0
1995,3.7037037037037033,0,3,0
2955,3.7037037037037033,NA,1,NA
315,15.736534111092414,6.9560932077189115,1981,0.15628710800464934
345,13.569538926681783,6.411961262215568,1960,0.1448314418383524
375,11.364207191019918,5.4416583081826815,1917,0.12428542785019868
405,9.514304723885562,4.988352717733109,1837,0.11638649135958017
435,8.50310377869433,4.478624208488226,1778,0.10621326149952814
465,8.192182765461164,4.358732171258162,1699,0.10574588945953095
495,7.334338037174041,3.9064924553794786,1622,0.09699772870317043
525,7.022146588196364,3.732029086300061,1567,0.09427803489036328
555,6.684141546526867,3.6286332831145085,1526,0.09288932627238927
585,6.017490473449022,3.1438836135077577,1351,0.08553400064698516
615,5.709023941068139,2.7903283369682463,1267,0.07839114395606378
645,5.331633486973292,2.5177287337928234,1133,0.07479868820541946
675,4.785773958706289,2.0049526435602303,931,0.06570966887115615
705,4.549227098246706,1.7088774838744887,714,0.06395313251212742
735,4.3252595155709335,1.5163858945495243,578,0.06307333817244692
765,4.212495323606435,1.380766330714673,495,0.062060831350780526
795,4.029542739220158,1.124837218242193,341,0.06091335049440362
825,3.9994366990564703,1.1514493276336073,263,0.07100140720792279
855,3.8538538538538534,0.7321071835037481,222,0.04913581692742254
885,3.9158950617283947,0.9425420721040438,192,0.06802211488147718
915,3.897180762852404,0.8271968970813032,134,0.07145892811274117
945,3.768680961663417,0.48839206312661654,114,0.04574210768135001
975,3.8564337533409696,0.7402633054731307,97,0.07516235084012801
