Size,Mean_Expected,SD_expected,n,SE_Expected
1005,0.7541552964524932,0.2277120612589126,417,0.011151107615920006
1035,0.7674845962598639,0.2318415037072405,319,0.012980632165442789
1065,0.7469095640858816,0.20868948366009066,265,0.012819693074699235
1095,0.7458492975734355,0.1890214787932236,270,0.011503480865336995
1125,0.7158032358228469,0.13203045963982143,211,0.009089351686926716
1155,0.7342597358037399,0.18350014809857398,201,0.012943102497073266
1185,0.7101806239737275,0.11754331256784027,168,0.009068663447429506
1215,0.7279693486590039,0.1586040304428537,126,0.014129570049491015
1245,0.7120829828987946,0.12282959024736045,123,0.01107517117646879
1305,0.6896551724137931,0,87,0
1335,0.69796427087661,0.07569948964806232,83,0.008309098462816786
1395,0.6896551724137931,0,81,0
1605,0.6896551724137931,0,43,0
1695,0.6896551724137931,0,27,0
1995,0.6896551724137931,0,10,0
315,15.92,3.0281739899069677,2000,0.06771202889128741
345,13.42551724137931,2.769631043607439,2000,0.06193083286099917
375,10.781379310344828,2.5166242970127626,2000,0.056273430019481575
405,8.843103448275862,2.3867432366268675,2000,0.053369201219355414
435,7.527586206896552,2.1614596670109076,2000,0.04833170746060449
465,6.830311707577927,2.0589056675362523,1999,0.04605004426919748
495,5.971606492901623,1.9564471352637276,1999,0.04375842886335292
525,5.373448275862069,1.8738730719872778,2000,0.0419010757016991
555,4.882441220610305,1.7416427444900289,1999,0.03895405542346454
585,4.160746694322012,1.65101512036048,1995,0.03696405439237247
615,3.574014097923414,1.5002289457792384,1991,0.03362187355865399
645,2.971468580430597,1.4027838595555318,1970,0.031605134812439
675,2.3207557277808535,1.1588732907889678,1931,0.026372106241729944
705,1.8449685239124307,0.9909387874312772,1835,0.023132831457598334
735,1.5277068045704476,0.8372534194269284,1687,0.020384468330230138
765,1.2905881276868199,0.6878319355012993,1508,0.01771257348925831
795,1.0983397190293742,0.5694428433577499,1296,0.015817856759937497
825,1.0025359812930212,0.4869615866781151,1047,0.015049475454692181
855,0.9301971530790897,0.4150509012406738,906,0.013789142584792058
885,0.8662537663207232,0.3653503669381443,824,0.012727583121468093
915,0.8489614841701957,0.3415331331169986,684,0.013058845729191417
945,0.8089726762916121,0.29933451025647867,578,0.01245067423797119
975,0.7988505747126438,0.2921657376542857,480,0.0133354804202824
