Day,Site,Rep,Date,Tide,315,345,375,405,435,465,495,525,555,585,615,645,675,705,735,765,795,825,855,885,915,945,975,1005,1035,1065,1095,1125,1155,1185,1215,1245,1275,1305,1335,1365,1395,1425,1455,1485,1515,1545,1575,1605,1635,1665,1695,1725,1755,1785,1815,1845,1875,1905,1935,1965,1995,2025,2055,2085,2115,2145,2175,2205,2235,2265,2295,2325,2355,2385,2415,2445,2475,2505,2535,2565,2595,2625,2655,2685,2715,2745,2775,2805,2835,2865,2895,2925,2955,2985
6,3,1,29/01/2014,Outgoing,11.965917,13.472402,15.860555,19.46815,24.235667,28.596054,35.020131,38.69753,43.968335,47.076594,47.335279,43.792206,33.742094,23.80568,19.142805,12.704687,10.01822,8.766998,6.593647,7.166106,6.869254,7.478286,4.888901,3.747948,4.32763,3.82294,3.601165,3.604925,4.063622,4.037479,3.59509,2.239382,1.311925,2.344547,4.266975,3.219634,2.004694,1.526307,1.949699,3.454671,1.100491,3.112453,2.060815,1.744667,1.844338,0.973868,0.513732,3.248972,0.570241,0.599987,0.63075,0,1.390789,1.45862,1.528623,0.800415,1.675275,0.875997,0,2.868579,0.998064,1.04114,0,1.130975,1.177769,1.225835,0,0,0,1.431174,0,1.541928,3.19877,0,1.718546,1.780285,0,0,0,0,0,2.181998,0,0,0,0,0,0,0,0
6,3,2,29/01/2014,Outgoing,9.497316,11.105986,13.451247,16.363776,19.851235,23.474837,25.953712,29.04336,32.456949,32.631112,30.217768,27.112634,22.066446,15.505672,11.253517,9.622511,9.264317,6.448553,6.519398,6.426677,6.214812,4.267865,4.492061,3.52928,4.438933,2.67265,4.288229,3.000278,1.136365,3.155742,1.511795,1.423246,3.275637,3.044029,3.509504,1.607767,2.288161,0.609745,2.271752,1.380109,1.465453,1.165684,2.058191,3.049279,2.762985,1.458942,1.539233,1.081611,0,1.198446,0.629947,2.646812,0,2.185144,0.763338,0,0.836571,0,0,2.864926,0,0,2.168112,0,2.352537,0,0,0,0,0,0,0,1.597348,0,0,1.778018,1.841137,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3,3,29/01/2014,Outgoing,9.643645,11.647891,14.440366,17.016173,19.98856,22.276072,25.044966,28.411411,29.255581,28.492392,29.39799,25.566843,20.374349,16.788643,12.567351,10.651837,8.938666,6.986351,7.367257,5.446858,4.849255,5.802561,5.361341,4.43141,4.598205,4.877915,4.871974,2.952534,3.363254,4.54024,2.544813,3.580475,2.940747,1.940462,3.116081,3.608486,2.962827,3.789741,1.344723,1.787035,4.933612,5.23254,2.558448,3.158689,1.908082,2.518816,0.531487,1.680631,3.539699,2.482895,2.610199,2.056336,2.877713,0,1.581454,3.312313,1.733175,1.812545,1.894302,0,3.097677,0,1.122953,0,0,1.268202,0,0,0,1.480638,0,0,3.309324,0,0,0,0,0,2.042572,0,4.368408,0,0,0,0,0,0,0,0,2.902797
7,1,1,5/02/2014,Incoming,18.648988,20.086311,19.317641,18.030758,16.266422,14.994892,14.383704,14.596753,15.739566,15.472753,15.802862,14.350751,14.809672,13.369182,12.862005,11.874204,12.288936,12.329447,11.753706,12.43209,10.825227,10.090635,12.392226,9.268466,12.654376,11.68609,11.702714,9.286225,9.714139,8.682138,8.188578,8.600472,6.984296,6.764255,4.913917,4.976235,7.967403,5.976248,7.366175,4.983538,1.889898,6.414101,3.82221,5.842502,5.701182,2.508667,4.764112,2.789765,1.175146,3.091114,0.649921,1.365367,2.866119,0.751476,2.362624,1.649484,0,2.707863,0,0,0,1.072784,0,1.165349,0,0,0,0,0,0,0,0,0,0,1.770779,0,0,1.966158,0,0,0,0,0,0,0,2.556256,0,0,0,0
7,1,2,5/02/2014,Incoming,24.69569,26.883412,26.532962,25.680516,24.360657,24.119664,23.838354,24.220137,23.524332,23.568696,23.8625,22.070896,21.773197,19.891754,20.016158,17.869566,18.229867,17.255691,16.873506,15.70469,15.153137,14.010207,14.31161,13.420005,12.811788,12.007933,13.117793,11.208187,11.118219,10.915701,9.141204,9.250919,9.203784,9.644577,8.524234,7.571871,6.849295,5.548574,4.973844,6.940358,6.667679,4.652417,3.548685,5.63303,6.175392,3.260799,2.211591,2.331111,1.909337,2.869907,2.111938,0.950744,1.99576,1.046549,1.827958,2.297165,2.403993,3.35211,0.875828,0,0.477402,1.49402,0.519196,0.540977,0.56336,0.586351,0,0.634194,1.318123,0.684571,1.42146,0,0,0,0,0,0,0,0,0.976756,0,0,0,0,0,0,0,0,0,0
7,1,3,5/02/2014,Incoming,20.061869,21.148857,21.915998,21.738622,21.167095,21.057862,21.942208,20.550691,21.086079,20.769745,21.506144,19.825496,20.039988,16.97156,18.498235,16.952084,18.149157,17.1708,16.355015,14.296782,15.093047,15.501041,11.222982,13.853587,11.946007,10.412153,10.778163,9.643039,7.905482,8.36688,9.386667,6.534832,7.44408,9.806463,7.568641,4.958656,3.899986,4.750912,5.689497,7.056853,3.568209,4.919729,3.60825,4.242653,3.588027,5.683768,2.49857,3.687039,4.437453,4.668927,1.227078,1.288937,2.029259,0.70941,1.486912,0.778574,3.259126,2.556282,1.781057,2.790306,0,0,2.111642,1.100115,2.291263,1.192386,0,1.289678,0,0,1.445319,0,0,0,0,1.731707,1.793183,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,1,5/02/2014,Incoming,14.41393,16.587927,19.651665,21.104011,23.312396,24.448089,25.062402,27.447402,30.26064,32.751988,34.499593,34.348789,29.568995,26.311642,21.233396,15.015243,13.762403,9.834794,10.48133,8.653268,8.707002,7.862144,7.598749,6.619753,5.371183,6.527132,3.914154,3.448867,3.158015,2.170344,3.007786,0.71914,1.544778,3.312814,2.21661,1.895542,1.011645,2.156652,1.721812,0.610176,0.647908,1.37433,2.183929,0,1.628766,0.860039,0,0.956407,0,0,1.114052,1.170212,2.456458,0,0,1.413719,0,0,3.234008,1.68886,0,0,0,1.997567,0,0,0,0,0,0,0,0,0,0,0,3.144399,0,0,0,0,0,0,3.981663,0,0,0,0,0,0,4.955741
7,2,2,5/02/2014,Incoming,15.323707,18.491753,20.286891,21.901072,23.547356,24.756458,24.465724,26.793709,28.875306,29.826661,29.44383,27.928428,21.156745,17.85289,15.428586,11.582515,10.309789,8.794213,7.062871,5.634063,7.669423,5.102739,6.706791,4.930288,4.176214,3.592098,2.602858,2.540435,2.138218,2.309198,1.244529,1.721586,0.821805,1.542083,0.94337,0.504204,1.34546,0.573657,0.610657,0.649213,0.34468,1.096692,1.161826,1.229488,0,0.457531,1.930844,0,0.535808,0.563758,1.185326,0,0,0,0.71816,0,0,0,0,0,0,0,0,0,0,0,0,0,1.294645,0,0,0,0,0,0,1.672785,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,3,5/02/2014,Incoming,13.091636,15.715453,18.127037,19.208282,19.384622,20.290179,21.211118,20.348423,20.081483,20.464431,20.27396,19.245818,19.047565,13.324501,13.60397,9.607744,9.174985,6.553688,7.41261,6.132816,4.614722,3.812755,3.664084,3.43956,1.878433,2.956136,2.965896,2.412306,2.320428,1.252989,0.675291,0.726558,1.560712,0.418373,1.343684,0.957547,1.02208,1.089449,1.159715,0,0,0,0,1.556637,0,1.737821,0.91673,0.966272,0,0,0,0,0,0,0,0,0,1.563174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.959071,0,0,0,0,0,3.643889,0,0,0,0,0,0,0,0,0,0
7,3,1,5/02/2014,Incoming,6.402949,7.840717,8.844153,9.966967,10.885889,12.298493,12.746469,13.185617,14.675973,13.929188,14.330595,13.671039,11.130318,9.122668,7.508072,5.375695,4.313495,4.001309,3.647273,3.461436,2.664965,2.036106,1.924208,1.537795,1.741869,1.219994,1.326024,1.198355,1.210349,1.587232,0.704471,1.19107,1.395559,0.623502,0.667499,1.855145,1.827849,0.649443,1.036995,0.551235,0.585323,0.620788,0.876876,0.695958,0.490478,0.776963,1.092963,0.288008,0.303297,1.276472,1.006439,1.409567,0.369863,0.775803,2.032588,1.27716,1.336554,1.863681,0,0,1.06169,1.107512,0,0,0.626425,0.65199,1.356484,0,0,0,0.790293,0,0,1.763964,1.828102,0.946888,0,2.029806,0,0,0,1.160549,0,1.238326,0,1.319503,0,2.808304,0,0
